UniProtKB:Q13315	ATM
UniProtKB:Q9BVW5	TIPIN
UniProtKB:Q9BW66	CINP
UniProtKB:Q9BUH6	PAXX
UniProtKB:O15287	FANCG
UniProtKB:Q96RL1	UIMC1
UniProtKB:Q13185	CBX3
UniProtKB:Q9UBB9	TFIP11
UniProtKB:Q13156	RPA4
UniProtKB:Q13112	CHAF1B
UniProtKB:Q13111	CHAF1A
UniProtKB:O60885	BRD4
UniProtKB:P14174	MIF
UniProtKB:Q6ZRQ5	MMS22L
UniProtKB:Q9BTP7	FAAP24
UniProtKB:P55957	BID
UniProtKB:Q96T88	UHRF1
UniProtKB:Q9NYB0	TERF2IP
UniProtKB:Q96T76	MMS19
UniProtKB:Q96T60	PNKP
UniProtKB:P09601	HMOX1
UniProtKB:O14965	AURKA
UniProtKB:O15360	FANCA
UniProtKB:Q9BVC6	TMEM109
UniProtKB:O15350	TP73
UniProtKB:Q9NXV6	CDKN2AIP
UniProtKB:Q9NY74	ETAA1
UniProtKB:Q9NY61	AATF
UniProtKB:O15315	RAD51B
UniProtKB:P24522	GADD45A
UniProtKB:Q13263	TRIM28
UniProtKB:Q9NXR7	BABAM2
UniProtKB:Q6PI98	INO80C
UniProtKB:Q9NY27	PPP4R2
UniProtKB:Q96SD1	DCLRE1C
UniProtKB:Q01831	XPC
UniProtKB:Q13216	ERCC8
UniProtKB:Q96SB8	SMC6
UniProtKB:Q9Y6K9	IKBKG
UniProtKB:A1Z1Q3	MACROD2
UniProtKB:A0A1W2PQ90	A0A1W2PQ90
UniProtKB:Q15431	SYCP1
UniProtKB:P53041	PPP5C
UniProtKB:P36954	POLR2I
UniProtKB:Q92993	KAT5
UniProtKB:Q92985	IRF7
UniProtKB:P36915	GNL1
UniProtKB:Q15831	STK11
UniProtKB:P16410	CTLA4
UniProtKB:Q92905	COPS5
UniProtKB:Q92900	UPF1
UniProtKB:A2RUB1	MEIOC
UniProtKB:Q6ZWJ1	STXBP4
UniProtKB:Q6NTE8	MRNIP
UniProtKB:Q9BXW9	FANCD2
UniProtKB:Q9BXU0	TEX12
UniProtKB:Q9BXT5	TEX15
UniProtKB:Q6ZW49	PAXIP1
UniProtKB:A0A0U1RQM0	A0A0U1RQM0
UniProtKB:P09884	POLA1
UniProtKB:P09874	PARP1
UniProtKB:Q5T890	ERCC6L2
UniProtKB:Q8IY92	SLX4
UniProtKB:Q92759	GTF2H4
UniProtKB:Q8IY18	SMC5
UniProtKB:P38936	CDKN1A
UniProtKB:P46937	YAP1
UniProtKB:Q86XK3	SFR1
UniProtKB:Q8TDG4	HELQ
UniProtKB:Q15121	PEA15
UniProtKB:P09430	TNP1
UniProtKB:E9PQ18	E9PQ18
UniProtKB:P24385	CCND1
UniProtKB:O15151	MDM4
UniProtKB:Q9BTA9	WAC
UniProtKB:Q13098	GPS1
UniProtKB:P12956	XRCC6
UniProtKB:Q9UMS4	PRPF19
UniProtKB:Q9NW38	FANCL
UniProtKB:Q01664	TFAP4
UniProtKB:Q13049	TRIM32
UniProtKB:Q96QE3	ATAD5
UniProtKB:Q96QC0	PPP1R10
UniProtKB:Q13018	PLA2R1
UniProtKB:Q9NVI1	FANCI
UniProtKB:Q9NVH0	EXD2
UniProtKB:Q9BT30	ALKBH7
UniProtKB:Q5UIP0	RIF1
UniProtKB:Q96Q83	ALKBH3
UniProtKB:O60729	CDC14B
UniProtKB:Q96Q15	SMG1
UniProtKB:Q9NYF8	BCLAF1
UniProtKB:Q68E01	INTS3
UniProtKB:P18887	XRCC1
UniProtKB:Q7Z7L1	SLFN11
UniProtKB:Q9NZ71	RTEL1
UniProtKB:Q9NYY3	PLK2
UniProtKB:Q9NYZ3	GTSE1
UniProtKB:Q9BWK5	CYREN
UniProtKB:Q6PJP8	DCLRE1A
UniProtKB:Q8N6T7	SIRT6
UniProtKB:Q7Z6Z7	HUWE1
UniProtKB:Q9BX63	BRIP1
UniProtKB:P23497	SP100
UniProtKB:Q8N6L0	CCDC155
UniProtKB:P28340	POLD1
UniProtKB:Q99502	EYA1
UniProtKB:P01106	MYC
UniProtKB:Q05655	PRKCD
UniProtKB:Q92843	BCL2L2
UniProtKB:P43246	MSH2
UniProtKB:P11388	TOP2A
UniProtKB:Q92878	RAD50
UniProtKB:Q9Y4K3	TRAF6
UniProtKB:Q92889	ERCC4
UniProtKB:P18074	ERCC2
UniProtKB:O00311	CDC7
UniProtKB:Q0VG06	FAAP100
UniProtKB:Q6UWZ7	ABRAXAS1
UniProtKB:Q15819	UBE2V2
UniProtKB:Q7L590	MCM10
UniProtKB:P06493	CDK1
UniProtKB:Q7L7L0	HIST3H2A
UniProtKB:Q8N1H7	SIX6OS1
UniProtKB:Q8TDB6	DTX3L
